tweet_id,intent,second,sub_stratum,customer_text
2894696,software_feature_defect,general_complaint_nonactionable,,Hey @BRAND fix this I️ glitch thing you rat bastards
2311852,software_feature_defect,general_complaint_nonactionable,,"@BRAND never have I ever wanted to say the word ""ducking"" why is that autocorrected EVERY SINGLE TIME"
2255261,software_feature_defect,general_complaint_nonactionable,,@BRAND Now the A-box and question mark is the first suggested word. What the hell? https://t.co/VK9HwysvrQ
1451607,software_feature_defect,general_complaint_nonactionable,,Why these boxes poppin up when I️ say I️ 😒 hell goin on. My phone updated @BRAND
1857444,software_feature_defect,ios_version_downgrade,,@BRAND iPhone 6plus iOs11 lagging all the time. Using Google Keyboard cause is imposible to use Apple's one. We need an update!!!!!
1573740,software_feature_defect,general_complaint_nonactionable,,Dawg this “I” button deal is pissing me tf off. @BRAND @BRAND
2583142,software_feature_defect,general_complaint_nonactionable,,@BRAND how do I stop my backspace key from popping off constantly 😩 https://t.co/TwaqWpqoMO
1552527,software_feature_defect,general_complaint_nonactionable,,@BRAND FIX THE MAPS APP PLEASE!!!! IT KEEPS GETTING ME LOST 🙄
2212946,software_feature_defect,ios_version_downgrade,,@BRAND I can’t update my phone bc it says my iPhone is still backing up. It’s been a week
2782057,software_feature_defect,ios_version_downgrade,,"#ios11 doing funky things to Maps when used with Podcasts — big delay in podcast when directions play, then my music comes on before I (sometimes) get back to the podcast I was listening to. Oh, and worse battery life. Well done, @BRAND @BRAND #iPhone7Plus"
2978335,software_feature_defect,ios_version_downgrade,,"Is @BRAND going to fix the #macOSHighSierra issues? New update barely reads any USB you plug in a mac, if it reads at all"
1300707,software_feature_defect,ios_version_downgrade,,"Y’all need to fix this iOS update, @BRAND. I’m getting real sick and tired of turning my WiFi off multiple times a day."
1160498,software_feature_defect,ios_version_downgrade,,Now phone calls are not getting silenced when do not disturb is switched on. Just great @BRAND ! #ios11 #iphone6s
1995723,software_feature_defect,general_complaint_nonactionable,,"Why does copying a text-only tweet from Twitter to the native Notes app or @USER no longer work in iOS 11.1, @BRAND? 🤔 #clipboard"
274967,software_feature_defect,general_complaint_nonactionable,,@BRAND WHAT THE FUCK IS “ I.T “ AND WHY CANT I SPELL it ...
2139921,software_feature_defect,ios_version_downgrade,,@BRAND has the screenshot editing feature included in iOS 11 been taken away from iOS 11.1?
2135688,software_feature_defect,general_complaint_nonactionable,,Why does my screen brightness adjust on its own when I have True Tone turned off?? @BRAND
1795999,software_feature_defect,ios_version_downgrade,,@BRAND after the iOS update my morning alarm stopped working and I was 1 hr late to work. Can you write a letter to my employer explaining?
1371899,software_feature_defect,general_complaint_nonactionable,,@BRAND any ideas as to why my pen is no longer working with my iPad despite ensuring that it’s charged?
188494,software_feature_defect,general_complaint_nonactionable,,Anyone else notice the new #IOS roll out means you can’t control the volume of your alarm? Well done @BRAND @BRAND your R&amp;D sucks!
2016335,software_feature_defect,ios_version_downgrade,,"@BRAND ios11 made my phone get stuck in reboot loops, now can’t make any phone calls in 11.1. No Genius Bar appts. Appalling."
2005377,software_feature_defect,billing_account,,@BRAND my apple music won’t load and it keeps crashing
1813793,software_feature_defect,ios_version_downgrade,,New IOS Update apparently doesn’t let me pause music outside of the app. Wth @BRAND ? @USER https://t.co/Rc7uy7ysud
2078114,software_feature_defect,ios_version_downgrade,,"@BRAND Hi, In “Files” (iOS11.0.2) I can access Google Drive or Dropbox over cellular but iCloud Drive doesen’t update or download"
1976012,software_feature_defect,general_complaint_nonactionable,,@BRAND WHY DID ALL MY CONTACTS JUST GET DELETED
